0x00A00000, Init - Initializes an external render context, sets camera transform fields, and submits the resulting configuration.
0x00A00070, TanakaTest - Initializes controller and minigame state, runs frames until completion, then performs final engine updates.
0x00A00100, dprintf - Forwards variadic arguments to the print callback stored in the global runtime context.
0x00A00168, MakeSprite - Emits a textured quad packet from sprite and rectangle records, selecting primitive state by sprite mode.
0x00A004D0, SetDrawStatus - Emits GS state commands configuring alpha blending and tests from a status code and optional value.
0x00A00680, SetTest - Emits a packet that writes the caller supplied value to the GS TEST register.
0x00A00710, SetRegAD - Emits one arbitrary GS register and value pair into the supplied packet buffer.
0x00A007A0, ResetRGBA - Resets all four shared untextured box color components to 0x80.
0x00A007E0, SetRGBA - Stores four caller supplied components in the shared untextured box color state.
0x00A00800, MakeBoxPos - Converts a rectangle to four fixed point GS vertices and stores them in shared box state.
0x00A00878, DrawNonTextureBox - Computes box vertices and emits an untextured quad using the shared RGBA color.
0x00A00998, RES_IsDebugMode - Returns the debug mode word at offset 0x1D3C in the loaded resource table.
0x00A009A8, RES_GetBonusTime - Returns the first word of the loaded resource table as the bonus duration.
0x00A009B8, RES_GetRealSpeed - Returns the reel speed word at offset four in the loaded resource table.
0x00A009C8, RES_ShopDataInfo - Returns the information text pointer within the indexed 0x7C byte shop record.
0x00A009E8, RES_ShopDataCoin - Returns the coin price word from the indexed 0x7C byte shop record.
0x00A00A08, RES_ShopDataName - Returns the name text pointer within the indexed 0x7C byte shop record.
0x00A00A28, RES_Coin_Rate - Returns the conversion rate word from the indexed 0x20 byte coin record.
0x00A00A40, RES_Coin_Info - Returns the information text pointer for the indexed 0x20 byte coin record.
0x00A00A58, RES_SoundEffect - Looks up a resource sound identifier and forwards the play request through dprintf.
0x00A00AA8, RES_SoundEffectStop - Looks up a resource sound identifier and forwards the stop request through dprintf.
0x00A00AF0, RES_Load - Loads the casino resource table at 0x01000000 and records that address globally.
0x00A00B28, AddCoin - Adds saved coins, caps the balance at 9,999,999, and passes overflow to an external converter.
0x00A00BA0, SlGetPic - Resolves a slot symbol from reel position, row offset, reel index, and active reel table.
0x00A00C10, SlRealDraw - Advances wrapped reel positions, draws five symbols per reel, then overlays windows and a dark box.
0x00A00DE0, decprint - Draws a decimal value right to left with automatic or fixed digit count.
0x00A00F68, SlCashPrint - Draws the saved coin balance and current slot payout at fixed screen positions.
0x00A00FB0, pay_print - Draws the five per-line slot stake values at their fixed table positions.
0x00A01060, total_pay_print - Draws the three digit total slot stake at its fixed screen position.
0x00A01088, check_mode - Returns one when any of the three reel state words equals one, otherwise zero.
0x00A010D0, SlPayWindowPrint - Draws five pay window cells using the active or inactive texture selected by reel state.
0x00A01160, check_spin - Tracks reel activity transitions and returns zero idle, one newly active, or two continuing.
0x00A011B0, SpinBtnPrint - Selects and animates the spin button sprite from the tracked reel activity state.
0x00A01278, SlStopBtnPrint - Draws each reel stop button using a texture selected from its current state.
0x00A01330, SlDecPrintSmall - Draws a value with small decimal sprites, caller controlled spacing, and automatic digit count.
0x00A014B8, SlRateTableDraw - Draws slot payout icons and regular or doubled rate values according to bonus state.
0x00A01750, SlResultDraw - Draws winning rows, multipliers, total payout, and line markers derived from result globals.
0x00A01A90, SlModePrint - Draws slot mode indicators and bonus gauge while advancing the bonus countdown state.
0x00A01CA8, SlGuidPrint - Draws the next animated guidance frame at the indexed point and advances its sequence.
0x00A01D20, point_control - Draws the context guidance pointer and changes the selected reel from directional input.
0x00A01E28, SlBgDraw - Configures background draw state and emits the fixed slot background sprite.
0x00A01E68, SlCoinEntry - Handles payline and stake input, enforces available coins, and recomputes all line costs.
0x00A02068, SlPrizeCheck - Evaluates one result line with wildcard handling and stores its payout multiplier and bonus code.
0x00A02260, SlLineCheck - Resolves five result lines, evaluates selected lines, accumulates payout, and records the strongest bonus.
0x00A02460, check_real - Runs the complete slot line evaluation and returns whether the resulting payout is nonzero.
0x00A02488, paid_action - Credits the pending slot payout incrementally or immediately, stopping sound when payment completes.
0x00A02590, linepay_check - Clears line stakes whose cumulative cost exceeds the current saved coin balance.
0x00A02630, slot_key - Drives slot betting, spinning, reel stopping, result checking, payout, and menu return from input.
0x00A02938, SlPrizeEffect - Advances a four phase prize overlay animation, emits its sprite, and reports whether still active.
0x00A02D28, SlChangeRealEffect - Animates three reel covers, selects the alternate reel set, and updates bonus mode state.
0x00A03150, SlEvent - Dispatches the active slot event animation and applies its bonus, payout, or mode transition on completion.
0x00A032C0, SlHelpMode - Configures overlay draw state and emits the fixed slot help panel sprite.
0x00A03380, slot_main - Renders the complete slot frame, advances events, handles input when idle, and optionally draws help.
0x00A034D8, init_slot - Loads five slot texture resources into fixed rendering buffers through the resource loader.
0x00A03578, NgTimePrint - Clamps time to 900 and draws a bar whose width is proportional to remaining time.
0x00A03610, NgPaidPrint - Draws the pending nine-reel payout after multiplying it by the current power-of-two streak factor.
0x00A03668, NgGetsDownBtnPrint - Draws the cash-out button state and advances its temporary pressed-frame countdown.
0x00A03710, NgSpinBtnPrint - Draws the spin button state and advances its temporary pressed-frame countdown.
0x00A037B8, NgLamp - Draws one lamp per streak level and animates the next rate window.
0x00A038C0, NineGameBG_Draw - Selects the nine-reel background buffer, configures GS state, and emits its fixed sprite.
